,id,asset_type,offering_type,annual_return_label,asset_class,asset_type.1,capital_request,closed_on,current_preferred_return,deal_size,distribution_frequency,em_asset_manager,entity_type,equity_multiple,interest_day_count_convention,investment_increment,investment_strategy,irr,lien_position,ltv,matures_on,maximum_investment_amount,minimum_investment_amount,offering_approach,offering_strategy,offering_type.1,preferred_return_label,project_stage,projected_annual_return,rate,redemption_period,restricted_to,sponsor_id,status,subtype,term,term_period,total_preferred_return,type,unit_cost,xirr,Investment Status,Stage,Sponsor,Investment Type_x,Property Type_x,Units / Rooms / Lots_x,SF_x,Investment Date_x,Exit Date,Senior Debt_x,Sub-Debt_x,Preferred Equity_x,Equity_x,Total Capitalization_x,EM Investment_x,Deal Leverage % @ Closing_x,EM Last $ Exposure @ Closing_x,Pro Forma / Realized Return,Gross Return Multiple,eFront Dist Freq,Total Return,DISTRIBUTIONS\Interest Payment,DISTRIBUTIONS\Principal Payment,DISTRIBUTIONS\Distribution,DISTRIBUTIONS\Return of Capital,Location,Investment Type_y,Property Type_y,Units / Rooms / Lots_y,SF_y,Investment Date_y,Projected Exit Date,Senior Debt_y,Sub-Debt_y,Preferred Equity_y,Equity_y,Total Capitalization_y,EM Investment_y,Deal Leverage % @ Closing_y,EM Last $ Exposure @ Closing_y,Gross Proceeds Received To Date,Remaining Exposure %
0,19 North Single Family Rental Development,Residential,Preferred Equity,Annual Return Objective,real_estate,Residential,3000000,1/15/21 0:00,8%,20319273,Monthly,9038,llc,,Actual/365,5000,Opportunistic,,,85%,7/31/22,3000000,25000,Direct,Preferred Equity,Preferred Equity,Total Preferred Return,Development,,,,506(B),157,published,preferred,18,Month(s),16%,none,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Albuquerque, NM - Netherwood Village",Multifamily,Preferred Equity,Annual Return Objective,real_estate,Multifamily,2500000,1/15/21 0:00,9%,19955000,Monthly,9038,llc,,Actual/365,5000,Value Add,,,81%,8/1/24,,,Direct,Preferred Equity,Preferred Equity,Total Preferred Return,Value Add,,,,506(B),115,published,preferred,42,Month(s),,none,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Arbor Crest Value-Add Multifamily,Multifamily,Equity,Annual Return Objective,real_estate,Multifamily,1100000,8/28/19 10:23,,25018041,Quarterly,79,llc,,Actual/365,5000,Value Add,,,,8/28/23,500000,15000,Direct,Equity,Equity,Total Preferred Return,Entitlement,,,,506(B),96,published,common,4,Year(s),,none,5000,,Active,Renovation,Henley Investments & Magma Equities,LP Equity,Multifamily,199,"183,830",9/17/19,8/28/23,"17,000,000", -   , -   ,"8,018,041","25,018,041","1,055,000",68%,100%,,0%,Month,"6,468.48", -   , -   , -   ,"6,468.48","Raleigh, NC",LP Equity,Multifamily,199,183830,43725,45166,17000000,0,0,8018040.873,25018040.87,1055000,0.679509642,1,6468.48,0.993868739
3,Atlanta Medical Office Portfolio,Office,Preferred Equity,Annual Return Objective,real_estate,Office,1600000,8/17/20 0:00,11%,9655000,Monthly,79,individual,,Actual/365,5000,Value Add,,,63%,8/17/21,1500000,15000,Direct,Preferred Equity,Preferred Equity,Total Preferred Return,Value Add,,,,none,116,published,preferred,12,Month(s),11%,none,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Atlanta Mixed Use Office & Hotel,Mixed Use,Equity,Annual Return Objective,real_estate,Mixed Use,3000000,,,79744934,Quarterly,9738,llc,,Actual/365,5000,Opportunistic,,,,2/28/30,2000000,50000,Tax-Deferred,"Equity,Opportunity Zone",Equity,Total Preferred Return,Development,,,,506(B),99,published,common,10,Year(s),,opportunity_zone,5000,,Active,Development,Sixty West Funds,LP Equity,Mixed Use,147,"195,826",2/14/20,2/28/30,"63,648,003", -   , -   ,"35,000,000","98,648,003","1,993,800",65%,100%,,0%,Quarter, -   , -   , -   , -   , -   ,"Atlanta, GA",LP Equity,Mixed Use,147,195826,43875,47542,63648003,0,0,35000000,98648003,1993800,0.645203157,1,0,1
5,Boston Area Triple-Net Dispensary,Retail,Preferred Equity,Annual Return Objective,real_estate,Retail,1350000,1/31/21 0:00,12%,2191000,Monthly,79,individual,,Actual/360,5000,Opportunistic,,,62%,1/31/24,750000,10000,Direct,Preferred Equity,Preferred Equity,Total Preferred Return,Value Add,,,,none,159,published,preferred,36,Month(s),12%,none,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Boston Metro - Assisted Living Facility,Senior Housing,Senior Debt,Annual Return Objective,real_estate,Senior Housing,1500000,12/31/20 17:00,,12450000,Monthly,79,individual,,Actual/360,5000,Opportunistic,,Subordinate Participation,51%,10/1/21,1000000,10000,Direct,Debt,Senior Debt,Total Preferred Return,Value Add,,14%,,none,94,published,1st_lien,10,Month(s),,none,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Boston Metro Assisted Living Facility Senior Loan,Senior Housing,Senior Debt,Annual Return Objective,real_estate,Senior Housing,1500000,8/28/19 18:28,,11050000,Monthly,79,individual,,Actual/365,5000,Value Add,,Junior Participation,62%,4/1/21,100000,10000,Direct,Debt,Senior Debt,Total Preferred Return,Entitlement,,10%,,none,94,published,1st_lien,20,Month(s),,none,5000,,Active,Lease-up,BridgeInvest,Senior Debt,Assisted Living Facility,50,"37,800",8/26/19,3/29/21,"6,800,000", -   ,"3,250,000","1,000,000","11,050,000","1,500,000",62%,48%,12%,0%,Month,"102,541.67","102,541.67", -   , -   , -   ,"Tewksbury, MA",Senior Debt,Assisted Living Facility,50,37800,43703,44284,6800000,0,3250000,1000000,11050000,1500000,0.615384615,0.479638009,102541.6667,0.931638889
8,Boston Mixed-Use Acquisition Loan,Mixed Use,Senior Debt,Annual Return Objective,real_estate,Mixed Use,850000,7/28/17 12:00,,19640000,Monthly,9738,llc,,Actual/365,5000,Value Add,14%,First,63%,1/9/18,,10000,Direct,Debt,Senior Debt,Total Preferred Return,Entitlement,,11%,,506(C),47,published,1st_lien,12,Month(s),,none,5000,0.249774585,Realized,Sold,Private Capital Group,Senior Debt,Mixed Use,656,"62,596",7/27/17,12/31/17,"21,706,000", -   , -   ,"1,200,000","22,906,000","830,000",95%,4%,26%,110%,Month,"912,052.75","82,052.75","830,000.00", -   , -   ,,,,,,,,,,,,,,,,,
9,Brooklyn Designer Luxury Condo (Extension Funding),Condo,Preferred Equity,Annual Return Objective,real_estate,Condo,1020000,12/31/19 17:21,12%,36825000,Monthly,79,llc,,Actual/365,5000,Opportunistic,,,80%,7/1/20,1000000,10000,Direct,Preferred Equity,Preferred Equity,Total Preferred Return,Development,,,,506(B),92,published,preferred,6,Month(s),12%,none,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Brooklyn Designer Luxury Condo (Follow-On),Condo,Preferred Equity,Annual Return Objective,real_estate,Condo,1450000,11/1/19 18:21,12%,35805000,Monthly,79,llc,,Actual/365,5000,Opportunistic,,,79%,7/1/20,1000000,10000,Direct,Preferred Equity,Preferred Equity,Total Preferred Return,Development,,,,506(B),92,published,preferred,2,Month(s),12%,none,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Brooklyn Redevelopment,Mixed Use,Equity,Annual Return Objective,real_estate,Mixed Use,750000,12/31/15 7:00,,7100000,Quarterly,10529,llc,2.8-3.8x,Actual/365,5000,Value Add,15-19%,,,12/31/25,500000,10000,Direct,Equity,Equity,Total Preferred Return,Entitlement,6%,,,506(C),13,published,common,10-May,Year(s),,none,5000,,Active,Stabilized,Bushwack Capital,LP Equity,Mixed Use,2,"16,500",1/5/16,12/31/25,"5,800,000","2,109,658", -   ,"4,003,010","11,912,668","553,400",66%,100%,0%,0%,Quarter, -   , -   , -   , -   , -   ,"Brooklyn, NY",LP Equity,Mixed Use,2,16500,42374,46022,5800000,2109658.06,0,4003010.4,11912668.46,553400,0.663970301,1,0,1
12,Cash-Flowing Baltimore-Washington Office Park,Office,Equity,Annual Return Objective,real_estate,Office,700000,4/10/19 10:23,,51742438,Quarterly,9738,llc,,Actual/365,5000,Core-Plus,,,,3/31/22,500000,5000,Direct,Equity,Equity,Total Preferred Return,,,,,506(B),85,published,common,3,Year(s),,none,5000,,Active,Stabilized,Center Court Partners,LP Equity,Office,15,"302,140",4/4/19,3/31/22,"36,575,000", -   , -   ,"15,890,000","52,465,000","700,000",70%,100%,0%,0%,Quarter,"109,845.39", -   , -   ,"109,845.39", -   ,"Columbia, MD",LP Equity,Office,15,302140,43559,44651,36575000,0,0,15890000,52465000,700000,0.697131421,1,109845.39,0.843078014
13,Cash-Flowing Connecticut Luxury Apartments,Multifamily,Equity,Annual Return Objective,real_estate,Multifamily,700000,12/15/17 14:08,,78653546,Quarterly,9738,llc,2.1x,Actual/365,5000,Value Add,17%,,,2/25/21,400000,10000,Direct,Equity,Equity,Total Preferred Return,Entitlement,8%,,,506(C),58,published,common,5,Year(s),,none,5000,,Active,Stabilized,Paredim Partners,LP Equity,Multifamily,340,"379,222",1/1/18,12/31/21,"57,886,000", -   , -   ,"20,788,996","78,674,996","715,000",74%,100%,,0%,Quarter,"31,147.87", -   , -   ,"31,147.87", -   ,"Trumbull, CT",LP Equity,Multifamily,340,379222,43101,44561,57886000,0,0,20788995.73,78674995.73,715000,0.735761082,1,31147.87,0.956436545
14,Cash-Flowing Connecticut Multifamily ,Multifamily,Equity,Annual Return Objective,real_estate,Multifamily,300000,2/17/17 7:00,,14668750,Quarterly,9038,llc,1.8-2.2x,Actual/365,5000,Value Add,15-20%,,,11/20/19,500000,10000,Direct,Equity,Equity,Total Preferred Return,Entitlement,10-12%,,,506(C),55,published,common,5,Year(s),,none,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Cash-Flowing Fairfield Inn & Suites Hotel,Hotel,Equity,Annual Return Objective,real_estate,Hotel,2000000,7/31/18 13:03,,14724573,Monthly,9038,llc,1.5x,Actual/365,5000,Value Add,16%,,,7/31/23,1000000,15000,Direct,Equity,Equity,Total Preferred Return,Entitlement,11%,,,506(B),74,published,common,3,Year(s),,none,5000,,Active,Lease-up,Oliver Companies,LP Equity,Hotel,106, N/A ,7/31/18,7/31/23,"10,879,973", -   , -   ,"3,844,600","14,724,573","2,000,000",74%,100%,0%,0%,Month,"327,525.28","16,376.44", -   ,"311,148.84", -   ,"Rockford, IL",LP Equity,Hotel,106,,43312,45138,10879973,0,0,3844600,14724573,2000000,0.73889905,1,327525.28,0.83623736
16,Cash-Flowing Jacksonville Multifamily,Multifamily,Equity,Annual Return Objective,real_estate,Multifamily,1300000,6/19/19 10:23,,13746347,Quarterly,79,llc,,Actual/365,5000,Core-Plus,,,,6/19/24,500000,10000,Direct,Equity,Equity,Total Preferred Return,Entitlement,,,,506(B),88,published,common,5,Year(s),,none,5000,,Active,Stabilized,Navarino Capital Management and Mayfair Investment Partners,LP Equity,Multifamily,100,"92,220",6/28/19,6/19/24,"8,985,000", -   , -   ,"4,761,347","13,746,347","1,300,000",65%,100%,,0%,Quarter,"68,250.00", -   , -   ,"68,250.00", -   ,"Atlantic Beach, FL",LP Equity,Multifamily,100,92220,43644,45462,8985000,0,0,4761347,13746347,1300000,0.653628197,1,68250,0.9475
17,Cash-Flowing Manhattan Multifamily,Multifamily,Equity,Annual Return Objective,real_estate,Multifamily,250000,8/4/17 12:06,,11570000,Quarterly,9038,llc,1.7-1.9x,Actual/365,5000,Value Add,13-15%,,,12/31/22,500000,10000,Direct,Equity,Equity,Total Preferred Return,Entitlement,4-5%,,,506(C),55,published,common,5,Year(s),,none,5000,,Active,Stabilized,Aulder Capital,LP Equity,Multifamily,31,"20,640",8/6/17,12/31/22,"7,150,000", -   , -   ,"4,420,000","11,570,000","115,000",62%,100%,0%,0%,Quarter,"2,221.18", -   , -   ,"2,221.18", -   ,"New York, NY",LP Equity,Multifamily,31,20640,42953,44926,7150000,0,0,4420000.135,11570000.14,115000,0.617977521,1,2221.18,0.980685391
18,Cash-Flowing Memphis Office and Multifamily,Mixed Use,Equity,Annual Return Objective,real_estate,Mixed Use,400000,12/30/16 7:00,,6420000,Monthly,9038,llc,2.0-2.5x,Actual/365,5000,Core,17-22%,,,12/31/22,400000,10000,Direct,Equity,Equity,Total Preferred Return,Entitlement,10-12%,,,506(C),53,published,preferred,5,Year(s),,none,5000,,Active,Lease-up,Alpha Capital Partners,LP Equity,Mixed Use,44,"45,948",1/13/17,12/31/22,"4,900,000", -   , -   ,"1,589,500","6,489,500","375,000",76%,100%,,0%,Month,"69,813.86","2,500.00", -   ,"67,313.86", -   ,"Memphis, TN",LP Equity,Mixed Use,44,45948,42748,44926,4900000,0,0,1589500,6489500,375000,0.755065876,1,69813.86,0.813829707
19,Cash-Flowing Midwest Multifamily Portfolio,Multifamily,Equity,Annual Return Objective,real_estate,Multifamily,750000,4/13/18 15:03,,39570498,Quarterly,79,llc,1.12x,Actual/365,5000,Value Add,15%,,,4/13/21,750000,10000,Direct,Equity,Equity,Total Preferred Return,Entitlement,10%,,,506(B),68,published,common,3,Year(s),,none,5000,,Active,Stabilized,Trevian Capital,LP Equity,Multifamily,407,"334,127",4/16/18,4/13/21,"21,900,000", -   , -   ,"8,882,105","30,782,105","450,000",71%,100%,0%,0%,Quarter,"115,269.16", -   , -   , -   ,"115,269.16","Various, Various",LP Equity,Multifamily,407,334127,43206,44299,21900000,0,0,8882105.208,30782105.21,450000,0.711452315,1,115269.16,0.743846311
20,Cash-Flowing New Jersey Multifamily,Multifamily,Preferred Equity,Annual Return Objective,real_estate,Multifamily,500000,1/9/16 7:00,7%,1797830,Quarterly,9738,llc,1.42x,Actual/365,5000,Value Add,,,,4/20/18,500000,10000,Direct,Preferred Equity,Preferred Equity,Total Preferred Return,Entitlement,,,,506(C),54,published,preferred,3,Year(s),14%,none,5000,0.142740281,Realized,Sold,One Wall Partners,Preferred Equity,Multifamily,25,"22,000",1/13/17,3/31/18,"1,207,500", -   ,"405,000","185,330","1,797,830","405,000",90%,90%,16%,118%,Quarter,"477,970.22","72,970.22","405,000.00", -   , -   ,,,,,,,,,,,,,,,,,
21,Cash-Flowing New Jersey Self Storage,Self-Storage,Equity,Annual Return Objective,real_estate,Self-Storage,1000000,2/28/18 15:55,,14300000,Quarterly,9038,llc,1.9x,Actual/365,5000,Value Add,26%,,,10/31/21,1000000,10000,Direct,Equity,Equity,Total Preferred Return,Entitlement,5%,,,506(C),60,published,common,3,Year(s),,none,5000,,Active,Lease-up,Madison Development / Wildflower,LP Equity,Self Storage,806,"107,715",2/23/18,9/30/21,"7,944,314", -   , -   ,"6,869,099","14,813,413","1,000,000",54%,100%,0%,0%,Quarter, -   , -   , -   , -   , -   ,"Linden, NJ",LP Equity,Self Storage,806,107715,43154,44469,7944314.36,0,0,6869098.753,14813413.11,1000000,0.53629196,1,0,1
22,Cash-Flowing Seattle Area Office Portfolio,Office,Equity,Annual Return Objective,real_estate,Office,1500000,7/9/18 18:16,,46735704,Quarterly,79,llc,1.5x,Actual/365,5000,Value Add,16%,,,7/9/21,1000000,10000,Direct,Equity,Equity,Total Preferred Return,,10%,,,506(B),73,published,common,3,Year(s),,none,5000,,Active,Sale,Hubris Capital,LP Equity,Office,,"262,565",7/9/19,7/9/21,"32,700,000", -   , -   ,"14,035,704","46,735,704","1,500,000",70%,100%,,0%,Quarter,"375,462.74", -   , -   ,"375,462.74", -   ,"Tacoma, WA",LP Equity,Office,,262565,43655,44386,32700000,0,0,14035704.05,46735704.05,1500000,0.6996792,1,375462.74,0.749691507
23,Cash-Flowing Sheraton Hotel,Hotel,Equity,Annual Return Objective,real_estate,Hotel,2000000,5/23/19 20:15,,25070000,Quarterly,9038,llc,,Actual/365,5000,Core,,,,5/31/24,500000,15000,Direct,Equity,Equity,Total Preferred Return,Entitlement,,,,506(B),87,published,common,5,Year(s),,none,5000,,Active,Lease-up,Three Wall Capital,LP Equity,Hotel,187,"160,087",7/26/19,5/31/24,"16,000,000", -   , -   ,"9,070,000","25,070,000","2,000,000",64%,100%,0%,0%,Quarter,"44,444.50", -   , -   ,"44,444.50", -   ,"McKinney, TX",LP Equity,Hotel,187,160087,43672,45443,16000000,0,0,9070000,25070000,2000000,0.638213004,1,44444.5,0.97777775
24,Cash-Flowing Stamford Luxury Apartment Complex,Multifamily,Equity,Annual Return Objective,real_estate,Multifamily,150000,1/11/17 7:00,,35521614,Quarterly,9738,llc,1.9x,Actual/365,5000,Value Add,15%,,,1/31/22,150000,10000,Direct,Equity,Equity,Total Preferred Return,Entitlement,6-7%,,,506(C),58,published,preferred,5,Year(s),,none,5000,,Active,Stabilized,Paredim Partners,LP Equity,Multifamily,124,"128,854",1/11/17,1/31/22,"25,357,000", -   , -   ,"9,883,310","35,240,310","150,000",72%,100%,,0%,Quarter,"26,005.35", -   , -   ,"26,005.35", -   ,"Stamford, CT",LP Equity,Multifamily,124,128854,42746,44592,25357000,0,0,9883310.497,35240310.5,150000,0.719545306,1,26005.35,0.826631
25,Cash Flowing Tampa Bay Industrial Park,Industrial,Equity,Annual Return Objective,real_estate,Industrial,350000,3/31/16 8:00,,12900000,Monthly,9038,llc,1.5-1.8x,Actual/365,1000,Value Add,10-14%,,,9/18/19,350000,5000,Direct,Equity,Equity,Total Preferred Return,Entitlement,8-9%,,,506(C),23,published,common,5-Mar,Year(s),,none,1000,,Realized,Sold,Avistone,LP Equity,Industrial,,"165,872",4/4/16,9/18/19,"8,660,000", -   ,"100,000","4,150,000","12,910,000","57,000",68%,100%,20%,175%,Month,"99,248.75", -   , -   ,"42,248.75","57,000.00",,,,,,,,,,,,,,,,,
26,Cash-Flowing Texas A&M Student Housing,Student Housing,Equity,Annual Return Objective,real_estate,Student Housing,500000,1/13/17 7:00,,3811163,Quarterly,9038,llc,2.0-2.2x,Actual/365,5000,Core,17-19%,,,12/31/21,500000,10000,Direct,Equity,Equity,Total Preferred Return,Entitlement,8-10%,,,506(C),53,published,common,5,Year(s),,none,5000,,Active,Stabilized,Alpha Capital Partners,LP Equity,Student Housing,18,"20,626",12/5/16,12/31/21,"1,964,600", -   , -   ,"1,062,824","3,842,824","500,000",51%,100%,,0%,Quarter,"29,281.64", -   , -   ,"29,281.64", -   ,"College Station, TX",LP Equity,Student Housing,18,20626,42709,44561,1964600,0,0,1062824,3027424,500000,0.51123861,1,29281.64,0.94143672
27,Cash Flowing Texas Multifamily Portfolio,Multifamily,Equity,Annual Return Objective,real_estate,Multifamily,530000,6/1/16 8:00,,11000000,Quarterly,10529,llc,2.2-2.4x,Actual/365,1000,Core,19-21%,,,12/31/21,1000000,10000,Direct,Equity,Equity,Total Preferred Return,Entitlement,12%,,,506(C),40,published,common,5,Year(s),,none,1000,,Active,Lease-up,Twin Eagle Capital,LP Equity,Multifamily,293,"257,675",6/11/16,12/31/21,"7,305,728", -   , -   ,"3,695,990","11,001,717","1,010,000",66%,100%,,56%,Quarter,"588,282.90", -   , -   ,"474,338.30","113,944.60","Various, TX",LP Equity,Multifamily,293,257675,42532,44561,7305727.5,0,0,3695989.68,11001717.18,1010000,0.664053382,1,588282.8978,0.417541685
28,Cash Flowing Texas Multifamily Portfolio (Allocation II),Multifamily,Equity,Annual Return Objective,real_estate,Multifamily,500000,6/1/16 8:00,,11000000,Quarterly,10529,llc,2.2-2.4x,Actual/365,5000,Core,19-22%,,,12/31/21,300000,10000,Direct,Equity,Equity,Total Preferred Return,Entitlement,12-13%,,,506(C),40,published,preferred,5,Year(s),,none,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Cash-Flowing TWU Student Housing,Student Housing,Equity,Annual Return Objective,real_estate,Student Housing,750000,9/1/17 12:11,,13637481,Quarterly,9038,llc,1.7x,Actual/365,5000,Value Add,20%,,,12/31/21,1000000,10000,Direct,Equity,Equity,Total Preferred Return,Entitlement,9%,,,506(C),53,published,common,3,Year(s),,none,5000,,Active,Stabilized,Alpha Capital Partners,LP Equity,Student Housing,90,"67,686",9/4/17,12/31/21,"9,825,000", -   , -   ,"3,812,481","13,637,481","750,000",72%,100%,,0%,Quarter,"67,500.00", -   , -   ,"67,500.00", -   ,"Denton, TX",LP Equity,Student Housing,90,67686,42982,44561,9825000,0,0,3812481,13637481,750000,0.720440967,1,67500,0.91
30,"Cash-Flowing Washington, D.C. Area Office",Office,Equity,Annual Return Objective,real_estate,Office,2000000,4/27/18 13:25,,32951426,Quarterly,79,llc,1.5x,Actual/365,5000,Value Add,15%,,,4/27/21,500000,10000,Direct,Equity,Equity,Total Preferred Return,Entitlement,9%,,,506(B),69,published,common,3,Year(s),,none,5000,,Active,Lease-up,JOSS Realty Partners,LP Equity,Office,0,"90,408",7/3/18,4/27/21,"21,511,750", -   , -   ,"11,439,676","32,951,426","1,890,000",65%,100%,,0%,Quarter,"234,604.03", -   , -   ,"234,604.03", -   ,"Alexandria, VA",LP Equity,Office,0,90408,43284,44313,21511750,0,0,11439676,32951426,1890000,0.652832141,1,234604.03,0.875870884
31,Charleston Retail and Student Housing Portfolio,Mixed Use,Equity,Annual Return Objective,real_estate,Mixed Use,500000,7/8/16 8:00,,16700000,Quarterly,10529,llc,1.8x,Actual/365,5000,Value Add,22%,,,12/31/22,500000,5000,Direct,Equity,Equity,Total Preferred Return,Entitlement,5%,,,506(C),37,published,common,3,Year(s),,none,5000,,Active,Lease-up,Friedman Capital,LP Equity,Mixed Use,42,"41,545",7/11/16,12/31/22,"12,930,000", -   , -   ,"5,653,718","18,583,718","500,000",70%,100%,0%,0%,Quarter, -   , -   , -   , -   , -   ,"Charleston, SC",LP Equity,Mixed Use,42,41545,42562,44926,12930000,0,0,5653718,18583718,500000,0.695770351,1,0,1
32,Chicago Area Office and Data Center Loan,Office,Senior Debt,Annual Return Objective,real_estate,Office,3000000,10/2/18 19:45,,16900000,Monthly,9038,llc,,Actual/365,5000,Value Add,,First,80%,12/31/21,1000000,10000,Direct,Debt,Senior Debt,Total Preferred Return,Entitlement,,10.50%,,506(B),47,published,1st_lien,12,Month(s),,none,5000,,Active,Lease-up,Private Capital Group,LP Equity,Office,,"209,557",10/19/18,1/31/24, -   , -   , -   ,"32,183,806","32,183,806","3,050,000",0%,65%,12%,0%,Month,"314,278.21","314,278.21", -   , -   , -   ,"Lombard, IL",LP Equity,Office,,209557,43392,45322,0,0,0,32183806.44,32183806.44,3050000,0,0.65,314278.21,0.896957964
33,Chicago Metro Office (Equity Participation),Office,Equity,Annual Return Objective,real_estate,Office,1040000,8/16/19 17:15,9%,28100000,Upon Sale,9038,llc,,Actual/365,5000,Core-Plus,,,76%,8/16/21,1000000,10000,Direct,Equity,Equity,Total Preferred Return,Entitlement,,,,506(B),72,published,common,24,Month(s),9%,none,5000,,Active,Lease-up,Helios Properties,LP Equity,Office,1,"232,052",5/21/19,9/30/21,"16,897,872", -   ,"4,133,496","4,716,504","25,747,872","1,040,000",82%,100%,10%,0%,Quarter, -   , -   , -   , -   , -   ,"Oak Brook, IL",LP Equity,Office,1,232052,43606,44469,16897872,0,4133495.68,4716504.32,25747872,1040000,0.816819646,1,0,1
