,id,asset_type,offering_type,annual_return_label,asset_class,asset_type.1,capital_request,closed_on,current_preferred_return,deal_size,distribution_frequency,em_asset_manager,entity_type,equity_multiple,interest_day_count_convention,investment_increment,investment_strategy,irr,lien_position,ltv,matures_on,maximum_investment_amount,minimum_investment_amount,offering_approach,offering_strategy,offering_type.1,preferred_return_label,project_stage,projected_annual_return,rate,redemption_period,restricted_to,sponsor_id,status,subtype,term,term_period,total_preferred_return,type,unit_cost,xirr,Investment Status,Stage,Sponsor,Investment Type_x,Property Type_x,Units / Rooms / Lots_x,SF_x,Investment Date_x,Exit Date,Senior Debt_x,Sub-Debt_x,Preferred Equity_x,Equity_x,Total Capitalization_x,EM Investment_x,Deal Leverage % @ Closing_x,EM Last $ Exposure @ Closing_x,Pro Forma / Realized Return,Gross Return Multiple,eFront Dist Freq,Total Return,DISTRIBUTIONS\Interest Payment,DISTRIBUTIONS\Principal Payment,DISTRIBUTIONS\Distribution,DISTRIBUTIONS\Return of Capital,Location,Investment Type_y,Property Type_y,Units / Rooms / Lots_y,SF_y,Investment Date_y,Projected Exit Date,Senior Debt_y,Sub-Debt_y,Preferred Equity_y,Equity_y,Total Capitalization_y,EM Investment_y,Deal Leverage % @ Closing_y,EM Last $ Exposure @ Closing_y,Gross Proceeds Received To Date,Remaining Exposure %
72,Manhattan - Luxury Condo,Condo,Mezzanine Debt,Annual Return Objective,real_estate,Condo,6000000,3/31/20 19:02,,184507344,Monthly,79,llc,,Actual/365,5000,Opportunistic,,Mezzanine,78%,3/31/21,1000000,20000,Direct,Debt,Mezzanine Debt,Total Preferred Return,Development,,15%,,none,92,published,mezzanine,10,Month(s),,none,5000,,Active,Development,Happy Living Development,Mezzanine Debt,Condo,155,"168,275",3/31/20,3/31/21,"156,160,000","6,000,000","4,100,000","17,977,344","184,237,344","6,000,000",88%,88%,18%,0%,Month,"640,603.00","640,603.00", -   , -   , -   ,"New York City, NY",Mezzanine Debt,Condo,155,168275,43921,44286,156160000,6000000,4100000,17977343.65,184237343.7,6000000,0.880169008,0.880169008,640603.0001,0.893232833
73,Metro Phoenix - Airport Logistics,Industrial,Equity,Annual Return Objective,real_estate,Industrial,1020000,,,41810726,Quarterly,,llc,,Actual/365,5000,Opportunistic,,,,,1000000,50000,Tax-Deferred,"Equity,Opportunity Zone",Equity,Total Preferred Return,Development,,,,506(B),84,published,preferred,10,Year(s),,opportunity_zone,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Mid-City LA Multifamily Value Add - 18th Street,Multifamily,Equity,Stabilized Return on Cost,real_estate,Multifamily,600000,9/1/17 8:00,,1978750,Quarterly,79,individual,1.7x,Actual/365,5000,Value Add,21%,,,3/17/18,600000,10000,Direct,Equity,Equity,Total Preferred Return,Entitlement,6%,,,none,65,published,preferred,3,Year(s),,none,5000,0.397410828,Realized,Sold,Silvershore Properties,LP Equity,Multifamily,7,"6,227",9/6/17,3/7/18,"1,278,750", -   , -   ,"700,000","1,978,750","600,000",65%,100%,42%,119%,Quarter,"713,709.04", -   , -   ,"113,709.04","600,000.00",,,,,,,,,,,,,,,,,
75,Mid-City LA Multifamily Value Add - 3rd Avenue,Multifamily,Equity,Stabilized Return on Cost,real_estate,Multifamily,600000,11/7/17 7:00,,1963438,Quarterly,79,llc,1.7x,Actual/365,5000,Value Add,20%,,,9/5/19,600000,10000,Direct,Equity,Equity,Total Preferred Return,Entitlement,6%,,,506(C),65,published,common,3,Year(s),,none,5000,,Realized,Sold,Silvershore Properties,LP Equity,Multifamily,8,"4,301",11/6/17,9/5/19,"1,270,000", -   , -   ,"693,438","1,963,438","600,000",65%,100%,-28%,55%,Quarter,"329,066.00", -   , -   , -   ,"329,066.00",,,,,,,,,,,,,,,,,
76,Mid-City LA Multifamily Value Add - 4th Avenue,Multifamily,Equity,Stabilized Return on Cost,real_estate,Multifamily,660000,2/13/18 10:54,,1857200,Quarterly,79,llc,1.35x,Actual/365,5000,Value Add,17%,,,8/9/18,660000,10000,Direct,Equity,Equity,Total Preferred Return,Entitlement,5%,,,506(C),65,published,common,2,Year(s),,none,5000,,Realized,Sold,Silvershore Properties,LP Equity,Multifamily,8,"3,800",3/15/18,8/9/18,"1,090,500", -   , -   ,"766,700","1,857,200","660,000",59%,100%,6%,102%,Quarter,"676,190.42", -   , -   ,"16,190.42","660,000.00",,,,,,,,,,,,,,,,,
77,Midtown Detroit Multifamily Portfolio,Multifamily,Equity,Annual Return Objective,real_estate,Multifamily,500000,5/15/17 1:00,,6171153,Quarterly,9038,llc,1.7-1.9x,Actual/365,5000,Value Add,17-20%,,,5/15/22,500000,10000,Direct,Equity,Equity,Total Preferred Return,Entitlement,6-7%,,,506(C),30,published,common,5,Year(s),,none,5000,,Active,Sale/Lease-up,Millennial Partners,LP Equity,Multifamily,63,"10,920",5/14/17,5/15/22,"5,000,000", -   , -   ,"2,321,153","7,321,153","325,000",68%,100%,0%,0%,Quarter, -   , -   , -   , -   , -   ,"Detroit, MI",LP Equity,Multifamily,63,10920,42869,44696,5000000,0,0,2321153,7321153,325000,0.682952535,1,0,1
78,Milwaukee Value Add Office,Office,Equity,Annual Return Objective,real_estate,Office,500000,12/22/15 7:00,,9100000,Quarterly,79,llc,1.8-2.0x,Actual/365,1000,Value Add,16-20%,,,8/7/19,500000,5000,Direct,Equity,Equity,Total Preferred Return,Entitlement,8-10%,,,506(C),30,published,common,5-Mar,Year(s),,none,1000,,Realized,Sold,Millennial Partners,LP Equity,Office,,"86,664",12/22/15,8/7/19,"4,266,000", -   , -   ,"3,381,000","7,647,000","300,000",56%,100%,22%,195%,Quarter,"584,819.58", -   , -   ,"300,000.25","284,819.33",,,,,,,,,,,,,,,,,
79,National Stabilized Multifamily Fund - Continental Properties,Multifamily,Equity,Annual Return Objective,real_estate,Multifamily,5000000,,,597397000,Quarterly,9738,llc,,Actual/365,5000,Core,,,,7/1/29,1000000,30000,Fund,Equity,Equity,Total Preferred Return,Stabilized,,,,506(B),9,published,preferred,10,Year(s),,none,5000,,Active,Stabilized,Continental Properties,LP Equity,Multifamily,3047,"2,995,201",4/1/20,7/1/29,"438,897,000", -   , -   ,"158,500,000","597,397,000","2,975,000",73%,100%,,0%,Quarter,"134,221.99","133,992.35", -   ,"53,783.99","-53,554.35","National, National",LP Equity,Multifamily,3047,2995201,43922,47300,438897000,0,0,158500000,597397000,2975000,0.734682297,1,134221.99,0.954883365
80,Nevada - Industrial and Retail NNN,Mixed Use,Preferred Equity,Annual Return Objective,real_estate,Mixed Use,4420000,11/13/19 4:20,11%,7070000,Monthly,9038,llc,,Actual/365,5000,Opportunistic,,,73%,2/18/21,1400000,20000,Direct,Preferred Equity,Preferred Equity,Total Preferred Return,Value Add,,,,506(B),104,published,preferred,24,Month(s),16%,none,5000,,Active,Lease-up,Green Wagon Holdings LLC,Preferred Equity,Mixed Use,3,"28,240",11/21/19,11/12/21,"750,000", -   ,"4,420,000","3,000,000","8,170,000","4,420,000",63%,63%,17%,0%,Month,"265,846.98","265,846.98", -   , -   , -   ,"Las Vegas, NV",Preferred Equity,Mixed Use,3,28240,43790,44512,750000,0,4420000,2999999.61,8169999.61,4420000,0.632802968,0.632802968,265846.9784,0.939853625
81,New Orleans - The Columns Hotel,Hotel,Preferred Equity,Annual Return Objective,real_estate,Hotel,2780000,11/7/19 18:28,11%,10041430,Monthly,9038,llc,,Actual/365,5000,Opportunistic,,,82%,12/15/22,1400000,20000,Direct,Preferred Equity,Preferred Equity,Total Preferred Return,Value Add,,,,506(B),103,published,preferred,36,Month(s),18%,none,5000,,Active,Renovation,Sandstone Developments,Preferred Equity,Hotel,20,"16,100",12/6/19,12/15/22,"5,500,000", -   ,"2,780,000","2,126,425","10,406,425","2,780,000",80%,80%,20%,0%,Quarter,"164,946.67","164,946.67", -   , -   , -   ,"New Orleans, TN",Preferred Equity,Hotel,20,16100,43805,44910,5500000,0,2780000,2126425,10406425,2780000,0.795662295,0.795662295,164946.6666,0.940666667
82,Occupied Industrial Property Bridge Loan,Industrial,Senior Debt,Annual Return Objective,real_estate,Industrial,500000,3/15/16 8:00,,1225000,Monthly,10529,llc,1.06-1.14x,Actual/365,1000,Opportunistic,13-15%,First,60%,2/18/17,500000,5000,Direct,Debt,Senior Debt,Total Preferred Return,Entitlement,,9.50%,,506(C),36,published,1st_lien,12-Jun,Month(s),,none,1000,0.09915575,Realized,Sold,Sundance Debt Partners,Senior Debt,Industrial,,"269,886",4/20/16,11/30/16,"1,225,000", -   , -   ,"806,820","2,031,820","340,000",60%,60%,14%,108%,Month,"365,858.53","25,858.53","340,000.00", -   , -   ,,,,,,,,,,,,,,,,,
83,Oklahoma City - AT&T Net Lease,Office,Preferred Equity,Annual Return Objective,real_estate,Office,3500000,11/19/20 0:00,11%,19351478,Monthly,9738,llc,,Actual/365,5000,Value Add,,,81%,12/31/23,3500000,25000,Direct,Preferred Equity,Preferred Equity,Total Preferred Return,Value Add,,,,506(B),123,published,preferred,36,Month(s),11%,none,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Opportunity Zone Fund - National Manufactured Housing,Manufactured Housing Community,Equity,Annual Return Objective,real_estate,Manufactured Housing Community,7500000,,,350000000,Quarterly,9738,llc,,Actual/365,5000,Opportunistic,,,,9/30/29,10000000,75000,Direct,"Equity,Opportunity Zone",Equity,Total Preferred Return,Entitlement,,,,506(B),89,published,common,10,Year(s),,opportunity_zone,5000,,Active,Lease-up,Pax Equity,LP Equity,Manufactured Housing,8553, N/A ,7/5/19,9/30/29,"100,000,000", -   , -   ,"272,000,000","372,000,000","6,170,000",27%,100%,0%,0%,Quarter, -   , -   , -   , -   , -   ,"National, National",LP Equity,Manufactured Housing,8553,,43651,47391,100000000,0,0,272000000,372000000,6170000,0.268817204,1,0,1
85,Opportunity Zone - Metro Phoenix Industrial,Industrial,Equity,Annual Return Objective,real_estate,Industrial,7140000,5/31/19 16:22,,27407707,Quarterly,9738,llc,,Actual/365,5000,Opportunistic,,,55%,5/28/29,1000000,50000,Direct,Equity,Equity,Total Preferred Return,Entitlement,,,,506(B),84,published,common,10,Year(s),,none,5000,,Active,Development,Foundation Capital Partners,LP Equity,Industrial,2,"326,260",5/22/19,5/28/29,"17,729,423", -   , -   ,"11,889,483","29,618,906","2,386,300",60%,100%,,0%,Quarter, -   , -   , -   , -   , -   ,"Goodyear, AZ",LP Equity,Industrial,2,326260,43607,47266,17729422.78,0,0,11889483.22,29618906,2386300,0.59858466,1,0,1
86,Palm Springs - Addiction Treatment Facility,Health Care,Preferred Equity,Annual Return Objective,real_estate,Health Care,600000,10/31/19 14:35,11%,5221908,Monthly,9738,llc,,Actual/365,5000,Core-Plus,,,87%,8/20/29,1000000,10000,Direct,Preferred Equity,Preferred Equity,Total Preferred Return,Stabilized,,,,506(B),91,published,preferred,10,Year(s),11%,none,5000,,Active,Stabilized,Wellness Real Estate Partners,Preferred Equity,Health Care,48,"15,100",11/1/19,8/20/29,"3,350,000", -   ,"1,200,000","662,640","5,212,640","600,000",87%,87%,13%,0%,Month,"87,500.00","87,500.00", -   , -   , -   ,"Palm Springs, CA",Preferred Equity,Health Care,48,15100,43770,47350,3350000,0,1200000,662640.24,5212640.24,600000,0.872878194,0.872878194,87500,0.854166667
87,Park City Main Street Bridge Loan,Mixed Use,Senior Debt,Annual Return Objective,real_estate,Mixed Use,2100000,3/12/18 13:33,,12560000,Monthly,9038,llc,,Actual/365,5000,Opportunistic,,First,58%,11/26/19,1500000,10000,Direct,Debt,Senior Debt,Total Preferred Return,Entitlement,,10.50%,,506(B),47,published,1st_lien,12,Month(s),,none,5000,,Realized,Sold,Private Capital Group,Senior Debt,Mixed Use,,"9,442",3/16/18,11/26/19,"12,560,000", -   , -   , -   ,"12,560,000","2,100,000",100%,17%,14%,110%,Month,"2,301,520.20","201,520.20","2,100,000.00", -   , -   ,,,,,,,,,,,,,,,,,
88,Park City Townhomes Construction Loan,Condo,Senior Debt,Annual Return Objective,real_estate,Condo,500000,5/26/16 8:00,,4192000,Monthly,9738,llc,,Actual/365,5000,Opportunistic,,First,62%,2/12/17,,5000,Direct,Debt,Senior Debt,Total Preferred Return,Entitlement,,9.0-9.5%,,506(C),36,published,1st_lien,12-Mar,Month(s),,none,5000,0.059842675,Realized,Sold,Sundance Debt Partners,Senior Debt,Townhomes,6,"12,042",6/24/16,11/30/16,"4,192,000", -   , -   , -   ,"4,192,000","350,000",100%,,16%,106%,Month,"369,812.45","19,812.45","350,000.00", -   , -   ,,,,,,,,,,,,,,,,,
89,"Philadelphia, PA - SOLO On Chestnut",Multifamily,Equity,Annual Return Objective,real_estate,Multifamily,1500000,,,39762604,Quarterly,9738,llc,,Actual/365,5000,Value Add,,,,8/1/24,1500000,15000,Direct,Equity,Equity,Total Preferred Return,Value Add,,,,506(B),114,published,common,4,Year(s),,none,5000,,Active,Lease-up,Skyline Partners,LP Equity,Multifamily,141,"61,311",7/31/20,8/1/24,"28,250,000", -   ,"2,500,000","9,048,350","39,798,350","1,500,000",77%,100%,,0%,Quarter,"63,174.00","19,817.00", -   ,"43,357.00", -   ,"Philadelphia, PA",LP Equity,Multifamily,141,61311,44043,45505,28250000,0,2500000,9048350,39798350,1500000,0.772645097,1,63174,0.957884
90,Pittsburgh - Union on 5th Student Housing,Student Housing,Equity,Annual Return Objective,real_estate,Student Housing,2000000,3/12/20 13:25,,14779318,Quarterly,9738,llc,,,5000,Value Add,,,,3/31/25,750000,10000,Direct,Equity,Equity,Total Preferred Return,Value Add,,,,506(B),107,published,preferred,5,Year(s),,none,5000,,Active,Lease-up,MultiVersity Housing Partners,LP Equity,Student Housing,94,"35,479",3/12/20,3/31/25,"8,794,000", -   , -   ,"5,874,962","14,668,962","2,000,000",60%,100%,,0%,Quarter,"120,742.00", -   , -   ,"120,742.00", -   ,"Pittsburgh, PA",LP Equity,Student Housing,94,35479,43902,45747,8794000,0,0,5874962,14668962,2000000,0.599497088,1,120742,0.939629
91,Preferred Equity - Boston Condo Development,Condo,Preferred Equity,Annual Return Objective,real_estate,Condo,3000000,8/31/18 17:39,8%,25254581,Monthly,79,llc,1.35x,Actual/365,5000,Opportunistic,,,87%,4/30/21,1000000,20000,Direct,"Equity,Preferred Equity",Preferred Equity,Total Preferred Return,Entitlement,,,,506(B),75,published,preferred,2,Year(s),17%,none,5000,,Active,Development,Urban Core Development,Preferred Equity,Condo,46,"40,756",4/5/19,4/30/21,"18,250,000", -   ,"4,250,000","4,200,000","26,700,000","4,250,000",84%,84%,18%,0%,Month,"731,237.50","731,237.50", -   , -   , -   ,"Boston, MA",Preferred Equity,Condo,46,40756,43560,44316,18250000,0,4250000,4200000,26700000,4250000,0.842696629,0.842696629,731237.5,0.827944118
92,Preferred Equity - Boston Condo Development Tranche II,Condo,Preferred Equity,Annual Return Objective,real_estate,Condo,1250000,8/31/18 17:39,7%,26350000,Monthly,79,llc,,Actual/365,5000,Opportunistic,,,84%,4/30/21,300000,10000,Direct,"Equity,Preferred Equity",Preferred Equity,Total Preferred Return,Entitlement,,,,506(B),75,published,preferred,18,Month(s),16%,none,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Preferred Equity - Brooklyn Designer Luxury Condo,Condo,Preferred Equity,Annual Return Objective,real_estate,Condo,1950000,8/30/19 18:21,14%,34241000,Monthly,79,llc,,Actual/365,5000,Opportunistic,,,78%,7/1/20,1000000,15000,Direct,"Equity,Preferred Equity",Preferred Equity,Total Preferred Return,Entitlement,,,,506(B),92,published,preferred,4,Month(s),14%,none,5000,,Realized,Sold,Happy Living Development,Preferred Equity,Condo,39,"32,789",8/31/19,11/5/20,"24,850,000", -   ,"4,475,000","7,540,000","36,865,000","4,475,000",80%,80%,18%,117%,Month,"318,192.78","318,192.78", -   , -   , -   ,,,,,,,,,,,,,,,,,
94,Preferred Equity - Cash-Flowing Chicago Area Office,Office,Preferred Equity,Annual Return Objective,real_estate,Office,3900000,6/15/18 21:53,13%,33000000,Monthly,9038,llc,1.36x,Actual/365,5000,Core-Plus,,,83%,6/30/23,,20000,Direct,"Equity,Preferred Equity",Preferred Equity,Total Preferred Return,Entitlement,,,,506(B),72,published,preferred,3,Year(s),13%,none,5000,,Active,Stabilized,Helios Properties,Preferred Equity,Office,,"256,238",11/16/18,6/30/23,"22,597,000", -   ,"5,000,000","5,673,000","33,270,000","5,000,000",83%,83%,14%,0%,Month,"2,774,620.56","1,669,620.56","1,105,000.00", -   , -   ,"Rolling Meadows, IL",Preferred Equity,Office,,256238,43420,45107,22597000,0,5000000,5673000,33270000,5000000,0.829486023,0.83,2774620.558,0.445075888
95,Preferred Equity - Cash-Flowing Chicago Area Office (Tranche II),Office,Preferred Equity,Annual Return Objective,real_estate,Office,1100000,11/9/18 20:53,12.50%,33000000,Monthly,9038,llc,1.30x,Actual/365,5000,Core-Plus,,,83%,6/30/23,500000,5000,Direct,"Equity,Preferred Equity",Preferred Equity,Total Preferred Return,Entitlement,,,,506(B),72,published,preferred,32,Month(s),12.50%,none,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Preferred Equity - Cash-Flowing Houston Multifamily,Multifamily,Preferred Equity,Annual Return Objective,real_estate,Multifamily,2200000,12/29/17 11:29,10%,13746203,Monthly,9038,llc,1.45x,Actual/365,5000,Value Add,,,,9/30/22,600000,15000,Direct,Preferred Equity,Preferred Equity,Total Preferred Return,Entitlement,,,,506(C),64,published,preferred,3,Year(s),15%,none,5000,,Active,Renovation,CBMJ Investments,Preferred Equity,Multifamily,73,"52,950",12/29/17,9/30/22,"9,200,000", -   ,"2,200,000","2,346,203","13,746,203","2,200,000",83%,83%,16%,0%,Month,"217,597.22","217,597.22", -   , -   , -   ,"Houston, TX",Preferred Equity,Multifamily,73,52950,43098,44834,9200000,0,2200000,2346203,13746203,2200000,0.829319922,0.829319893,217597.2222,0.901092172
97,Preferred Equity - Cash-Flowing Hyatt Place Hotel,Hotel,Preferred Equity,Annual Return Objective,real_estate,Hotel,2500000,8/30/19 17:03,8%,18270330,Monthly,9038,individual,,Actual/365,5000,Value Add,,,83%,9/30/22,500000,10000,Direct,"Equity,Preferred Equity",Preferred Equity,Total Preferred Return,Entitlement,,,,none,74,published,preferred,3,Year(s),14%,none,5000,,Active,Lease-up,Oliver Companies,Preferred Equity,Hotel,148,"84,934",9/28/18,9/30/22,"12,740,000", -   ,"2,500,000","3,407,830","18,647,830","2,500,000",82%,83%,14%,0%,Month,"207,945.00","207,945.00", -   , -   , -   ,"Fort Myers, FL",Preferred Equity,Hotel,148,84934,43371,44834,12740000,0,2500000,3407830,18647830,2500000,0.817253268,0.83,207945,0.916822
98,Preferred Equity - Chicago Metro Office,Office,Preferred Equity,Annual Return Objective,real_estate,Office,3775000,3/13/19 17:15,9%,25900000,Quarterly,9038,llc,,Actual/365,5000,Core-Plus,,,78%,8/16/21,1000000,25000,Direct,Preferred Equity,Preferred Equity,Total Preferred Return,Entitlement,,,,506(B),72,published,preferred,24,Month(s),14%,none,5000,,Active,Lease-up,Helios Properties,Preferred Equity,Office,1,"232,052",5/21/19,9/30/21,"13,843,575", -   ,"6,825,000","200,000","20,868,575","3,775,000",99%,69%,15%,0%,Quarter,"2,839,454.20","418,400.92","2,421,053.28", -   , -   ,"Oak Brook, IL",Preferred Equity,Office,1,232052,43606,44469,13843575,0,6825000,200000,20868575,3775000,0.990416212,0.686914911,2839454.2,0.247826702
99,Preferred Equity - Delray Beach Luxury Townhome Development,Townhomes,Preferred Equity,Annual Return Objective,real_estate,Townhomes,1750000,3/1/19 15:22,9%,16415840,Monthly,9038,llc,,Actual/365,5000,Opportunistic,,,85%,12/30/20,1000000,10000,Direct,"Equity,Preferred Equity",Preferred Equity,Total Preferred Return,Entitlement,,,,506(B),83,published,preferred,20,Month(s),9%,none,5000,,Realized,Sold,U.S. Construction,Preferred Equity,Townhomes,6,"27,168",3/12/19,12/29/20,"12,114,726", -   ,"1,750,000","2,551,114","16,415,840","1,750,000",84%,84%,20%,135%,Month,"291,666.67","291,666.67", -   , -   , -   ,,,,,,,,,,,,,,,,,
100,Preferred Equity - Grand Rapids Manufactured Housing,Manufactured Housing Community,Preferred Equity,Annual Return Objective,real_estate,Manufactured Housing Community,1050000,10/24/17 11:42,10%,1327500,Monthly,9038,llc,1.26x,Actual/365,5000,Opportunistic,13%,,,10/24/19,1050000,10000,Direct,"Equity,Preferred Equity",Preferred Equity,Total Preferred Return,Entitlement,10%,,,506(C),66,published,preferred,2,Year(s),13%,none,5000,,Realized,Sold,Bedrock Group,Preferred Equity,Manufactured Housing,52,"1,104",11/6/17,10/31/19, -   , -   ,"1,050,000","277,500","1,327,500","1,050,000",79%,79%,15%,128%,Quarter,"1,345,954.14", -   , -   ,"295,954.14","1,050,000.00",,,,,,,,,,,,,,,,,
101,Preferred Equity - Indianapolis Retail Plaza,Retail,Preferred Equity,Annual Return Objective,real_estate,Retail,1400000,9/30/19 19:28,11%,7740000,Monthly,9738,llc,,Actual/365,5000,Value Add,,,82%,7/14/20,1400000,10000,Direct,Preferred Equity,Preferred Equity,Total Preferred Return,Entitlement,,,,506(B),98,published,preferred,36,Month(s),11%,none,5000,,Realized,Sold,Citivest Commercial Investments,Preferred Equity,Retail,15,"107,080",10/30/19,7/14/20,"4,940,000", -   ,"1,400,000","1,467,426","7,807,426","1,400,000",81%,81%,13%,109%,Month,"1,520,823.13","120,823.13","1,400,000.00", -   , -   ,,,,,,,,,,,,,,,,,
102,Preferred Equity - Miami Metro Industrial,Industrial,Preferred Equity,Annual Return Objective,real_estate,Industrial,1250000,4/5/19 11:00,9%,6029852,Quarterly,79,llc,,Actual/365,5000,Value Add,,,90%,7/15/20,1000000,10000,Direct,Preferred Equity,Preferred Equity,Total Preferred Return,Entitlement,,,,506(B),77,published,preferred,18,Month(s),14%,none,5000,,Realized,Sold,Ghitis Property Company,Preferred Equity,Industrial,,"49,333",5/17/19,7/15/20,"4,275,000", -   ,"1,150,000","604,852","6,029,852","1,150,000",90%,71%,16%,118%,Month, -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,
103,Preferred Equity - Newly Completed Brooklyn Condo,Condo,Preferred Equity,Annual Return Objective,real_estate,Condo,1770000,7/8/19 18:21,14%,16136283,Monthly,79,llc,,Actual/365,5000,Opportunistic,,,71%,1/1/21,1000000,15000,Direct,"Equity,Preferred Equity",Preferred Equity,Total Preferred Return,Entitlement,,,,506(B),92,published,preferred,9,Month(s),14%,none,5000,,Active,Sale,Happy Living Development,Preferred Equity,Condo,10,"13,377",7/26/19,1/1/21,"950,000", -   ,"1,770,000","4,666,283","7,386,283","950,000",37%,37%,16%,0%,Month,"380,462.35","380,462.35", -   , -   , -   ,"Brooklyn, NY",Preferred Equity,Condo,10,13377,43672,44197,950000,0,1770000,4666283,7386283,950000,0.368250174,0.368250174,380462.3536,0.599513312
104,Preferred Equity - NYC Metro Single-Tenant Industrial,Industrial,Preferred Equity,Annual Return Objective,real_estate,Industrial,1775000,4/27/19 0:55,8%,6529285,Monthly,9038,llc,,Actual/365,5000,Value Add,,,90%,4/26/22,1000000,10000,Direct,"Equity,Preferred Equity",Preferred Equity,Total Preferred Return,Entitlement,,,,506(B),86,published,preferred,3,Year(s),13%,none,5000,,Realized,Sold,Wildflower LTD,Preferred Equity,Industrial,1,"32,748",5/30/19,10/23/20,"4,125,000", -   ,"1,775,000","566,250","6,466,250","1,775,000",91%,91%,15%,120%,Month,"2,129,112.49","354,112.49","1,775,000.00", -   , -   ,,,,,,,,,,,,,,,,,
105,Preferred Equity - Ole Miss Student Housing,Student Housing,Preferred Equity,Annual Return Objective,real_estate,Student Housing,930000,12/29/17 10:41,7%,5922684,Quarterly,9038,llc,1.28x,Actual/365,5000,Value Add,,,,12/31/22,930000,10000,Direct,Preferred Equity,Preferred Equity,Total Preferred Return,Entitlement,,,,506(C),53,published,preferred,2,Year(s),14%,none,5000,,Active,Lease-up,Alpha Capital Partners,Preferred Equity,Student Housing,28,"18,900",1/19/18,12/31/22,"4,032,000", -   ,"910,000","980,684","5,922,684","910,000",83%,84%,15%,0%,Quarter,"135,222.34","135,222.34", -   , -   , -   ,"Oxford, MS",Preferred Equity,Student Housing,28,18900,43119,44926,4032000,0,910000,980684,5922684,910000,0.83441899,0.8378,135222.34,0.851404022
