,id,asset_type,offering_type,annual_return_label,asset_class,asset_type.1,capital_request,closed_on,current_preferred_return,deal_size,distribution_frequency,em_asset_manager,entity_type,equity_multiple,interest_day_count_convention,investment_increment,investment_strategy,irr,lien_position,ltv,matures_on,maximum_investment_amount,minimum_investment_amount,offering_approach,offering_strategy,offering_type.1,preferred_return_label,project_stage,projected_annual_return,rate,redemption_period,restricted_to,sponsor_id,status,subtype,term,term_period,total_preferred_return,type,unit_cost,xirr,Investment Status,Stage,Sponsor,Investment Type_x,Property Type_x,Units / Rooms / Lots_x,SF_x,Investment Date_x,Exit Date,Senior Debt_x,Sub-Debt_x,Preferred Equity_x,Equity_x,Total Capitalization_x,EM Investment_x,Deal Leverage % @ Closing_x,EM Last $ Exposure @ Closing_x,Pro Forma / Realized Return,Gross Return Multiple,eFront Dist Freq,Total Return,DISTRIBUTIONS\Interest Payment,DISTRIBUTIONS\Principal Payment,DISTRIBUTIONS\Distribution,DISTRIBUTIONS\Return of Capital,Location,Investment Type_y,Property Type_y,Units / Rooms / Lots_y,SF_y,Investment Date_y,Projected Exit Date,Senior Debt_y,Sub-Debt_y,Preferred Equity_y,Equity_y,Total Capitalization_y,EM Investment_y,Deal Leverage % @ Closing_y,EM Last $ Exposure @ Closing_y,Gross Proceeds Received To Date,Remaining Exposure %
106,Preferred Equity - Orlando Metro Triple-Net Addiction Treatment Facility,Health Care,Preferred Equity,Annual Return Objective,real_estate,Health Care,1170000,7/15/19 14:35,12%,4741371,Monthly,9738,individual,,Actual/365,5000,Value Add,,,88%,7/31/21,1000000,10000,Direct,"Equity,Preferred Equity",Preferred Equity,Total Preferred Return,Entitlement,,,,506(B),91,published,preferred,24,Month(s),12%,none,5000,,Active,Stabilized,Wellness Real Estate Partners,Preferred Equity,Health Care,45,"33,582",7/26/19,7/31/21,"3,000,000", -   ,"1,170,000","604,397","4,774,397","1,170,000",87%,88%,13%,0%,Month,"205,757.50","205,757.50", -   , -   , -   ,"Altoona, FL",Preferred Equity,Health Care,45,33582,43672,44408,3000000,0,1170000,604396.5334,4774396.533,1170000,0.873408811,0.880420805,205757.5,0.824138889
107,Preferred Equity - South Florida Triple-Net Industrial Property,Industrial,Preferred Equity,Annual Return Objective,real_estate,Industrial,1300000,12/20/18 15:30,9%,4419650,Quarterly,79,llc,,Actual/365,5000,Opportunistic,,,90%,5/30/21,1000000,10000,Direct,Preferred Equity,Preferred Equity,Total Preferred Return,Entitlement,,,,none,77,published,preferred,15,Month(s),14%,none,5000,,Realized,Sold,Ghitis Property Company,Preferred Equity,Industrial,1,"32,500",12/21/18,7/15/20,"2,665,000", -   ,"1,300,000","454,650","4,419,650","1,300,000",90%,60%,16%,125%,Quarter,"1,604,890.33","304,890.33","1,300,000.00", -   , -   ,,,,,,,,,,,,,,,,,
108,Preferred Equity - Tampa Bay Senior Living Facility,Senior Housing,Preferred Equity,Annual Return Objective,real_estate,Senior Housing,2500000,9/30/19 19:28,12%,18900000,Monthly,79,llc,,Actual/365,5000,Value Add,,,66%,2/28/22,1400000,20000,Direct,"Equity,Preferred Equity",Preferred Equity,Total Preferred Return,Value Add,,,,506(B),100,published,preferred,29,Month(s),12%,none,5000,,Active,Stabilized,Retirement Living Associates,Preferred Equity,Assisted Living Facility,80,"55,035",9/30/19,2/28/22,"8,500,000","4,159,882","3,000,000","3,617,000","19,276,882","2,500,000",81%,81%,12%,0%,Month,"394,739.58","394,739.58", -   , -   , -   ,"Riverview, FL",Preferred Equity,Assisted Living Facility,80,55035,43738,44620,8500000,4159881.62,3000000,3617000,19276881.62,2500000,0.812365917,0.805715207,394739.5838,0.842104166
109,"Preferred Equity - Washington, D.C. Condo Redevelopment",Condo,Preferred Equity,Annual Return Objective,real_estate,Condo,1600000,5/1/18 12:16,8%,1902804,Monthly,79,llc,1.12x,Actual/365,5000,Opportunistic,,,84%,1/8/20,1600000,10000,Direct,"Equity,Preferred Equity",Preferred Equity,Total Preferred Return,Entitlement,,,,506(B),70,published,preferred,9,Month(s),16%,none,5000,,Realized,Sold,D3 Design + Development,Preferred Equity,Condo,3,"4,120",5/2/18,2/29/20, -   , -   ,"1,600,000","302,804","1,902,804","1,600,000",84%,84%,11%,116%,Month,"1,860,548.60","232,511.91","1,628,036.69", -   , -   ,,,,,,,,,,,,,,,,,
110,Preferred Equity - West Hollywood Townhomes Development,Townhomes,Preferred Equity,Annual Return Objective,real_estate,Townhomes,690000,1/1/18 0:00,10%,5013425,Monthly,10529,llc,1.4x,Actual/365,5000,Opportunistic,,,,12/31/18,10000,10000,Direct,Preferred Equity,Preferred Equity,Total Preferred Return,Entitlement,,,,506(C),67,published,preferred,24,Month(s),17%,none,5000,0.222437638,Realized,Sold,Breakform | RE,Preferred Equity,Townhomes,5,"9,000",1/25/18,12/31/18,"2,894,388", -   ,"690,000","1,429,038","5,013,425","690,000",71%,71%,22%,119%,Month,"822,598.99","132,598.99","690,000.00", -   , -   ,,,,,,,,,,,,,,,,,
111,Preferred Equity - Williamsburg Mixed-Use Office & Retail,Mixed Use,Preferred Equity,Annual Return Objective,real_estate,Mixed Use,2000000,3/1/19 15:22,10.50%,25520413,Monthly,9738,llc,,Actual/365,5000,Value Add,,,65%,2/26/22,1000000,10000,Direct,"Equity,Preferred Equity",Preferred Equity,Total Preferred Return,Entitlement,,,,506(B),82,published,preferred,24,Month(s),10.50%,none,5000,,Active,Lease-up,Largo,Preferred Equity,Mixed Use,1,"19,507",2/26/19,2/26/22,"14,685,000", -   ,"2,000,000","8,845,413","25,530,413","2,000,000",65%,65%,12%,0%,Month,"255,297.70","255,297.70", -   , -   , -   ,"Brooklyn, NY",Preferred Equity,Mixed Use,1,19507,43522,44618,14685000,0,2000000,8845412.977,25530412.98,2000000,0.653534278,0.653534278,255297.6989,0.872351151
112,Pre-IPO Triple Net Lease REIT,Multi-Asset,Equity,Annual Return Objective,real_estate,Multi-Asset,5000000,3/15/21 0:00,,5000000,Quarterly,79,individual,,Actual/360,5000,Core,,,,3/15/23,5000000,15000,Fund,Equity,Equity,Total Preferred Return,Stabilized,,,,none,161,published,preferred,24,Month(s),,none,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Richmond Multifamily & Student Housing,Multifamily,Equity,Annual Return Objective,real_estate,Multifamily,335000,2/17/17 7:00,,12046366,Quarterly,9038,llc,3.2-4.0x,Actual/365,5000,Value Add,19-24%,,,2/28/25,500000,10000,Direct,Equity,Equity,Total Preferred Return,,8-10%,,,506(C),57,published,common,7,Year(s),,none,5000,,Active,Stabilized,Mercer Street Partners,LP Equity,Multifamily,103,"106,800",3/23/17,2/28/24,"10,850,000", -   , -   ,"1,196,366","12,046,366","195,000",90%,100%,,0%,Quarter,"32,191.24", -   , -   ,"32,191.24", -   ,"Richmond, VA",LP Equity,Multifamily,103,106800,42817,45350,10850000,0,0,1196366,12046366,195000,0.900686564,1,32191.24,0.834916718
114,"San Antonio, TX - Collection At Overlook",Multifamily,Equity,Annual Return Objective,real_estate,Multifamily,1250000,9/30/20 0:00,,37804367,Monthly,9738,individual,,Actual/365,5000,Value Add,,,,10/31/25,,,Direct,Equity,Equity,Total Preferred Return,Value Add,,,,506(B),118,published,common,5,Year(s),,none,5000,,Active,Renovation,Pegasus Real Estate,LP Equity,Multifamily,411,"294,405",10/9/20,10/31/25,"24,375,000", -   ,"4,014,000","9,465,383","37,854,383","1,250,000",75%,100%,,0%,Quarter, -   , -   , -   , -   , -   ,"San Antonio, TX",LP Equity,Multifamily,411,294405,44113,45961,24375000,0,4014000,9465382.82,37854382.82,1250000,0.74995279,1,0,1
115,San Francisco Pre-Development Bridge Loan,Land,Senior Debt,Annual Return Objective,real_estate,Land,500000,4/15/16 8:00,,3400000,Monthly,10529,llc,1.1x,Actual/365,1000,Value Add,9%,First,64%,6/22/16,500000,5000,Direct,Debt,Senior Debt,Total Preferred Return,Entitlement,9%,9%,,506(C),26,published,1st_lien,5,Month(s),,none,1000,0.095440655,Realized,Sold,Urban Green Investments,Senior Debt,Land,,"10,019",12/2/15,6/22/16,"3,400,000", -   , -   ,"1,900,000","5,300,000","131,000",64%,2%,11%,103%,Month,"135,564.45","4,564.45","131,000.00", -   , -   ,,,,,,,,,,,,,,,,,
116,Santa Monica Luxury Condo Development,Condo,Equity,Annual Return Objective,real_estate,Condo,750000,8/12/16 8:00,,9184000,Upon Sale,79,llc,1.6-1.8x,Actual/365,5000,Opportunistic,26-40%,,,9/30/22,750000,10000,Direct,Equity,Equity,Total Preferred Return,Entitlement,,,,506(C),30,published,common,24,Month(s),,none,5000,,Active,Stabilized,Millennial Partners,LP Equity,Condo,6,"9,901",9/3/16,9/30/22,"6,250,000", -   ,"4,271,915","1,540,000","12,061,915","750,000",87%,100%,0%,0%,Quarter, -   , -   , -   , -   , -   ,"Santa Monica, CA",LP Equity,Condo,6,9901,42616,44834,6250000,0,4271914.67,1540000,12061914.67,750000,0.872325411,1,0,1
117,"Schaumburg, IL - Carmax Triple-Net DST",Retail,Equity,Annual Return Objective,real_estate,Retail,5000000,11/30/20 0:00,,36882000,Monthly,,llc,,Actual/365,1000,Core,,,44%,,5000000,200000,Tax-Deferred,"Equity,1031",Equity,Total Preferred Return,Stabilized,,,,506(B),122,published,common,8,Year(s),,exchange_1031,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Seattle Luxury Townhomes Development,Townhomes,Equity,Annual Return Objective,real_estate,Townhomes,400000,11/12/16 7:00,,3978504,Upon Sale,9738,llc,1.4-1.5x,Actual/365,5000,Opportunistic,20-24%,,,7/31/21,400000,5000,Direct,Equity,Equity,Total Preferred Return,Entitlement,,,,506(C),51,published,common,21-24,Month(s),,none,5000,,Active,Sale,Build Urban,LP Equity,Townhomes,11,"14,300",11/4/16,7/31/21,"3,325,000", -   , -   ,"653,504","3,978,504","400,000",84%,100%,,0%,Quarter,"473,866.67", -   , -   ,"73,866.67","400,000.00","Seattle, WA",LP Equity,Townhomes,11,14300,42678,44408,3325000,0,0,653504,3978504,400000,0.835741274,1,473866.67,0
119,South Florida - Self Storage Portfolio,Self-Storage,Preferred Equity,Annual Return Objective,real_estate,Self-Storage,920000,12/30/19 15:02,9%,3134228,Quarterly,79,llc,,Actual/365,5000,Core-Plus,,,90%,10/20/20,1000000,10000,Direct,Preferred Equity,Preferred Equity,Total Preferred Return,Stabilized,,,,506(B),77,published,preferred,24,Month(s),14%,none,5000,,Realized,Sold,Ghitis Property Company,Preferred Equity,Self Storage,86,"39,434",12/20/19,10/20/20,"1,901,250", -   ,"920,000","312,978","3,134,228","920,000",90%,89%,18%,114%,Quarter,"1,039,600.11","119,600.11","920,000.00", -   , -   ,,,,,,,,,,,,,,,,,
120,Starcity Co-Living San Francisco Redevelopment,Multifamily,Equity,Annual Return Objective,real_estate,Multifamily,1815000,5/28/18 16:05,,4265405,Quarterly,9038,individual,1.55x,Actual/365,5000,Opportunistic,17%,,,9/30/21,1655000,10000,Direct,Equity,Equity,Total Preferred Return,Entitlement,10%,,,506(B),71,published,common,3,Year(s),,none,5000,,Active,Sale/Lease-up,Starcity,LP Equity,Co-Living,13,"3,950",6/8/18,9/30/21,"2,403,700", -   , -   ,"2,037,203","4,440,903","1,815,000",54%,100%,,0%,Quarter,"421,951.80", -   , -   ,"421,951.80", -   ,"San Francisco, CA",LP Equity,Co-Living,13,3950,43259,44469,2403700,0,0,2037203,4440903,1815000,0.541263793,1,421951.7953,0.767519672
121,Starwood Real Estate Income Trust (SREIT),Multi-Asset,Equity,Annual Return Objective,real_estate,Multi-Asset,10000000,,,5000000000,Monthly,9738,llc,,Actual/365,500,Core,,,,,5000000,5000,Fund,Equity,Equity,Total Preferred Return,Stabilized,,,12 Months,none,111,published,preferred,,Month(s),,none,21.4004,,Active,Development,Starwood Capital Group,LP Equity,Multi-Asset,, N/A ,10/1/20,, -   , -   , -   , -   , -   ,"702,500",not upload,,,0%,Month, -   , -   , -   , -   , -   ,"N/A, N/A",LP Equity,Multi-Asset,,,44105,,0,0,0,0,0,702500,not upload,,0,1
122,"St. George, UT - Boulder Creek Predevelopment Loan",Land,Senior Debt,Annual Return Objective,real_estate,Land,2300000,10/25/19 17:45,,10750000,Monthly,9738,llc,,Actual/365,5000,Opportunistic,,Senior,83%,4/4/21,1000000,10000,Direct,Debt,Senior Debt,Total Preferred Return,Development,,10.50%,,506(B),47,published,1st_lien,12,Month(s),,none,5000,,Active,Development,Private Capital Group,Senior Debt,Land,14,"724,838",10/25/19,4/4/21,"10,750,000", -   , -   , -   ,"10,750,000","2,300,000",100%,90%,12%,0%,Month,"1,435,474.44","270,449.44","1,165,025.00", -   , -   ,"St. George, UT",Senior Debt,Land,14,724838,43763,44290,10750000,0,0,0,10750000,2300000,1,0.902790698,1435474.44,0.375880678
123,"Tidal Wave Car Wash - Foley, AL",Car Wash,Preferred Equity,Annual Return Objective,real_estate,Car Wash,1800000,5/7/20 12:00,10%,6130332,Monthly,79,individual,,Actual/365,5000,Opportunistic,,,81%,5/7/23,1800000,15000,Direct,Preferred Equity,Preferred Equity,Total Preferred Return,Development,,,,none,81,published,preferred,36,Month(s),14%,none,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,"Tidal Wave Car Wash - Foley, AL (B)",Car Wash,Preferred Equity,Annual Return Objective,real_estate,Car Wash,1398932,5/7/20 12:00,10%,6130332,Monthly,79,individual,,Actual/365,1,Opportunistic,,,81%,5/7/23,1800000,15000,Direct,Preferred Equity,Preferred Equity,Total Preferred Return,Development,,,,none,81,published,preferred,36,Month(s),14%,none,1,,Active,Development,Olson Land Partners,Preferred Equity,Car Wash,1,"46,842",6/5/20,5/7/23,"3,131,925", -   ,"2,783,000","246,582","6,161,507","983,000",96%,67%,15%,0%,Month,"54,064.32","54,064.32", -   , -   , -   ,"Foley, AL",Preferred Equity,Car Wash,1,46842,43987,45053,3131925.43,0,2783000,246581.9003,6161507.33,983000,0.959980263,0.667843956,54064.31989,0.945000692
125,"Tidal Wave Car Wash - Ocala, FL",Car Wash,Preferred Equity,Annual Return Objective,real_estate,Car Wash,1400000,8/12/20 14:10,10%,6963258,Monthly,79,individual,,Actual/365,5000,Opportunistic,,,81%,8/12/23,750000,10000,Direct,Preferred Equity,Preferred Equity,Total Preferred Return,Development,,,,none,81,published,preferred,36,Month(s),14%,none,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,"Tidal Wave Car Wash - Pace, FL",Car Wash,Preferred Equity,Annual Return Objective,real_estate,Car Wash,1450000,2/28/19 11:55,10%,5192520,Monthly,79,llc,,Actual/365,5000,Opportunistic,,,80%,2/28/22,1000000,10000,Direct,"Equity,Preferred Equity",Preferred Equity,Total Preferred Return,Entitlement,,,,506(B),81,published,preferred,36,Month(s),13.50%,none,5000,,Active,Stabilized,Olson Land Partners,Preferred Equity,Car Wash,1,"52,490",2/6/19,2/28/22,"2,732,136", -   ,"2,000,000","460,384","5,192,520","1,450,000",91%,53%,,0%,Quarter, -   , -   , -   , -   , -   ,"Pace, FL",Preferred Equity,Car Wash,1,52490,43502,44620,2732136,0,2000000,460384,5192520,1450000,0.911337077,0.526167641,0,1
127,"Tidal Wave Car Wash - Pace, FL",Car Wash,Preferred Equity,Annual Return Objective,real_estate,Car Wash,1825000,1/30/19 11:55,10%,5995955,Monthly,79,llc,,Actual/365,5000,Opportunistic,,,83%,2/28/22,1000000,10000,Direct,"Equity,Preferred Equity",Preferred Equity,Total Preferred Return,Entitlement,,,,506(B),81,published,preferred,36,Month(s),13.50%,none,5000,,Active,Stabilized,Olson Land Partners,Preferred Equity,Car Wash,1,"52,490",2/6/19,2/28/22,"2,732,136", -   ,"2,000,000","460,384","5,192,520","1,450,000",91%,53%,,0%,Quarter, -   , -   , -   , -   , -   ,"Pace, FL",Preferred Equity,Car Wash,1,52490,43502,44620,2732136,0,2000000,460384,5192520,1450000,0.911337077,0.526167641,0,1
128,"Tidal Wave Car Wash - Roswell, GA",Car Wash,Preferred Equity,Annual Return Objective,real_estate,Car Wash,1810000,5/31/19 20:07,10%,6004552,Monthly,79,llc,,Actual/365,5000,Opportunistic,,,83%,5/31/22,1000000,20000,Direct,"Equity,Preferred Equity",Preferred Equity,Total Preferred Return,Entitlement,,,,506(B),81,published,preferred,36,Month(s),13.50%,none,5000,,Active,Stabilized,Olson Land Partners,Preferred Equity,Car Wash,,"3,500",5/31/19,5/31/22,"3,150,979", -   ,"2,360,000","493,573","6,004,552","1,810,000",92%,83%,15%,0%,Month,"282,872.02","282,872.02", -   , -   , -   ,"Roswell, GA",Preferred Equity,Car Wash,,3500,43616,44712,3150979,0,2360000,493573,6004552,1810000,0.917800196,0.826203021,282872.0238,0.843717114
129,"Tidal Wave Car Wash - Roswell, GA (B)",Car Wash,Preferred Equity,Annual Return Objective,real_estate,Car Wash,550000,4/26/19 20:07,10%,6004552,Monthly,79,llc,,Actual/365,5000,Opportunistic,,,83%,5/31/22,1000000,20000,Direct,"Equity,Preferred Equity",Preferred Equity,Total Preferred Return,Entitlement,,,,506(B),81,published,preferred,36,Month(s),13.50%,none,5000,,Active,Stabilized,Olson Land Partners,Preferred Equity,Car Wash,,"3,500",5/31/19,5/31/22,"3,150,979", -   ,"2,360,000","493,573","6,004,552","550,000",92%,92%,15%,0%,Month,"93,270.83","93,270.83", -   , -   , -   ,"Roswell, GA",Preferred Equity,Car Wash,,3500,43616,44712,3150979,0,2360000,493573,6004552,550000,0.917800196,0.917800196,93270.83114,0.830416671
130,"Tidal Wave Car Wash - Tampa Bay, FL (Lutz)",Car Wash,Preferred Equity,Annual Return Objective,real_estate,Car Wash,897000,12/27/19 19:07,10%,6181796,Monthly,79,llc,,Actual/365,1000,Opportunistic,,,82%,3/27/23,1000000,10000,Direct,Preferred Equity,Preferred Equity,Total Preferred Return,Development,,,,506(B),81,published,preferred,39,Month(s),14%,none,1000,,Active,Development,Olson Land Partners,Preferred Equity,Car Wash,,"3,500",12/31/19,3/27/23,"3,838,960", -   ,"1,848,292","494,544","6,181,796","1,250,000",92%,82%,15%,0%,Month,"405,179.28","109,179.28","296,000.00", -   , -   ,"Lutz, FL",Preferred Equity,Car Wash,,3500,43830,45012,3838960,0,1848292,494544,6181796,1250000,0.919999948,0.823217072,405179.2778,0.675856578
131,"Tidal Wave Car Wash - Tampa Bay, FL (Lutz)",Car Wash,Preferred Equity,Annual Return Objective,real_estate,Car Wash,1250000,12/27/19 19:07,10%,6181796,Monthly,79,llc,,Actual/365,5000,Opportunistic,,,82%,3/27/23,1000000,10000,Direct,Preferred Equity,Preferred Equity,Total Preferred Return,Development,,,,506(B),81,published,preferred,39,Month(s),14%,none,5000,,Active,Development,Olson Land Partners,Preferred Equity,Car Wash,,"3,500",12/31/19,3/27/23,"3,838,960", -   ,"1,848,292","494,544","6,181,796","1,250,000",92%,82%,15%,0%,Month,"405,179.28","109,179.28","296,000.00", -   , -   ,"Lutz, FL",Preferred Equity,Car Wash,,3500,43830,45012,3838960,0,1848292,494544,6181796,1250000,0.919999948,0.823217072,405179.2778,0.675856578
132,"Tidal Wave Car Wash - Tampa Bay, FL (Oldsmar)",Car Wash,Preferred Equity,Annual Return Objective,real_estate,Car Wash,2000000,9/30/19 20:07,10%,6698349,Monthly,79,llc,,Actual/365,5000,Opportunistic,,,82%,9/30/22,1000000,15000,Direct,"Equity,Preferred Equity",Preferred Equity,Total Preferred Return,Development,,,,506(B),81,published,preferred,36,Month(s),14%,none,5000,,Active,Development,Olson Land Partners,Preferred Equity,Car Wash,,"3,500",9/30/19,9/30/22,"3,506,297", -   ,"2,655,000","537,052","6,698,349","2,000,000",92%,82%,15%,0%,Month,"237,801.11","237,801.11", -   , -   , -   ,"Oldsmar, FL",Preferred Equity,Car Wash,,3500,43738,44834,3506297,0,2655000,537052,6698349,2000000,0.919823228,0.822037938,237801.1078,0.881099446
133,"Tidal Wave Car Wash - Tampa Bay, FL (Oldsmar)",Car Wash,Preferred Equity,Annual Return Objective,real_estate,Car Wash,2000000,9/30/19 20:07,10%,6698349,Monthly,79,llc,,Actual/365,5000,Opportunistic,,,82%,9/30/22,1000000,15000,Direct,"Equity,Preferred Equity",Preferred Equity,Total Preferred Return,Development,,,,506(B),81,published,preferred,36,Month(s),14%,none,5000,,Active,Development,Olson Land Partners,Preferred Equity,Car Wash,,"3,500",9/30/19,9/30/22,"3,506,297", -   ,"2,655,000","537,052","6,698,349","2,000,000",92%,82%,15%,0%,Month,"237,801.11","237,801.11", -   , -   , -   ,"Oldsmar, FL",Preferred Equity,Car Wash,,3500,43738,44834,3506297,0,2655000,537052,6698349,2000000,0.919823228,0.822037938,237801.1078,0.881099446
134,"Tidal Wave - Ocala, FL (B)",Car Wash,Preferred Equity,Annual Return Objective,real_estate,Car Wash,844000,,,10000000,Monthly,79,llc,,Actual/365,5000,Value Add,,,,,,,Direct,Preferred Equity,Preferred Equity,Total Preferred Return,Development,,,,none,81,published,preferred,,Month(s),,none,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Trevian Capital Debt Fund,Multi-Asset,Senior Debt,Annual Return Objective,real_estate,Multi-Asset,5000000,2/26/21 0:00,,100000000,Monthly,9738,individual,,Actual/365,5000,Value Add,,First,65%,,5000000,20000,Fund,Debt,Senior Debt,Total Preferred Return,Value Add,,6.5-10%,3 Years,506(B),68,published,1st_lien,3,Year(s),,none,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Triple-Net Rite Aid Senior Bridge Loan,Retail,Senior Debt,Annual Return Objective,real_estate,Retail,1350000,,,2700000,Monthly,79,llc,,Actual/365,5000,Opportunistic,,First,50%,4/30/20,500000,10000,Direct,Debt,Senior Debt,Total Preferred Return,Entitlement,,8.00%,,506(B),76,published,1st_lien,12,Month(s),,none,5000,,Realized,Sold,NRE Capital Partners,Senior Debt,Retail,1,"67,300",11/1/18,4/15/20,"2,025,000", -   , -   ,"675,000","2,700,000","1,350,000",75%,50%,15%,122%,Month,"1,651,640.56","301,640.56","1,350,000.00", -   , -   ,,,,,,,,,,,,,,,,,
137,Upper Manhattan Multifamily and Retail Portfolio,Mixed Use,Equity,Annual Return Objective,real_estate,Mixed Use,500000,5/2/16 8:00,,189000000,Quarterly,9038,llc,1.9x,Actual/365,5000,Core,14%,,,12/31/21,1000000,10000,Direct,Equity,Equity,Total Preferred Return,Entitlement,2-3%,,,506(C),38,published,preferred,5,Year(s),,none,5000,,Active,Stabilized,Galil Management,LP Equity,Mixed Use,421,"487,700",4/12/16,12/31/21,"110,325,000","25,000,000", -   ,"52,625,000","187,950,000","100,000",72%,100%,,0%,Quarter, -   , -   , -   , -   , -   ,"New York, NY",LP Equity,Mixed Use,421,487700,42472,44561,110325000,25000000,0,52625000,187950000,100000,0.720005321,1,0,1
138,Waterford Grove GP Multifamily,Multifamily,Equity,Annual Return Objective,real_estate,Multifamily,2000000,3/10/21 21:40,,79332567,Quarterly,79,llc,,Actual/360,5000,Value Add,,,,3/10/26,1900000,20000,Direct,Equity,Equity,Total Preferred Return,Value Add,,,,none,164,published,preferred,5,Year(s),,none,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,"Westgate Industrial Conversion - Macon, GA",Mixed Use,Equity,Annual Return Objective,real_estate,Mixed Use,2000000,9/16/19 19:24,,8908303,Quarterly,,llc,,Actual/365,5000,Opportunistic,,,,9/15/22,500000,15000,Direct,Equity,Equity,Total Preferred Return,Entitlement,,,,506(B),95,published,common,3,Year(s),,none,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,West Hollywood Luxury Condo Conversion,Condo,Equity,Annual Return Objective,real_estate,Condo,1250000,6/16/17 8:00,,7050000,Upon Sale,10529,llc,1.2-1.4x,Actual/365,5000,Value Add,17-29%,,,6/30/20,600000,10000,Direct,Equity,Equity,Total Preferred Return,Entitlement,6-7%,,,506(C),37,published,common,18,Month(s),,none,5000,,Realized,Sold,Friedman Capital,LP Equity,Multifamily,7,"9,330",6/2/17,6/1/20,"4,580,000", -   , -   ,"2,468,900","7,048,900","1,530,000",65%,100%,2%,106%,Quarter,"1,559,250.84", -   , -   ,"29,250.84","1,530,000.00",,,,,,,,,,,,,,,,,
141,West Hollywood Multifamily Value Add,Multifamily,Equity,Stabilized Return on Cost,real_estate,Multifamily,1700000,4/30/18 1:00,,4561894,Upon Sale,79,llc,1.3x,Actual/365,5000,Value Add,19%,,,7/1/21,1700000,10000,Direct,Equity,Equity,Total Preferred Return,Entitlement,6%,,,506(B),62,published,common,18,Month(s),,none,5000,,Active,Stabilized,Bold Partners,LP Equity,Multifamily,12,"9,346",5/23/18,7/1/21,"2,307,500", -   , -   ,"2,254,394","4,561,894","1,700,000",51%,100%,,0%,Quarter, -   , -   , -   , -   , -   ,"West Hollywood, CA",LP Equity,Multifamily,12,9346,43243,44378,2307500,0,0,2254394,4561894,1700000,0.505820609,1,0,1